,sentiment,id,sentence
102,0,1467837470,watching &quot;House&quot; 
189,0,1467859558,"I activated my Selfcontrol block early, meaning I can't check out the new QC.  Regularizing my internal clock is might be difficult. #fb"
255,0,1467876652,"@burgaw Ooooooh! *sealclap* See, I download shitloads of zip folders off 4chan. I have no internet moneys.  FUCK YEAH ALICIA &amp; MIKEY."
283,0,1467881809,I would like to apologize for the repeated Video Games Live related tweets. I am going to have a stern discussion with Koodo soon. Stern. 
370,0,1467906345,Any chance  Softbelly (for @MTUB) isn't loud? 
385,0,1467910531,i want the new GG episode already 
540,0,1467948979,Oh no my computer sucks. I don't think i'll be able to listen to the Xbox 360 Fancast tonite
554,0,1467950866,@phlaimeaux where are you? 
732,0,1467994316,"just leavin work, my feet hurt "
858,0,1468023065,@kameelahwrites &lt;33 codez....they've been MIA tho
982,0,1468052499,i can't concentrate 
1184,0,1468101464,@almostcool i'm off now 
1313,0,1468128655,needs to study for quant and do legal process assessment for 2moro
1488,0,1468163309,@adreamforsteph ok House was sad. 
1509,0,1468169708,3 in the morning and I can't sleep.
1819,0,1468242537,Oh noooooo Kath is back from Annual Leave!!!!!  du du duuuuuuuu!
2049,0,1468292648,Thinking of pay day.....another 3 weeks to go  lol
2323,0,1468352503,"@corienb Kutner's gone?? Really have to see the new episodes, urgently! But they aren't available on DVD yet. "
2404,0,1468372133,"Tonight's Gyratory System show at the vibe bar will be electronic, due to drummer illness. "
2620,0,1468415586,LAN at @JetBlackOnyx's with @miss_mell was a blasty-blast. Now it's time for home 
2752,0,1468444801,hmm shoulder is making some bad noises if i move my arm back and forth (i know don't do it!) fear a return to physio may be required 
3019,0,1468499537,@Donniesbabe well its pishing here  sun looks like it wants to break through hope it dows kids doing my head in !!!!!!
3111,0,1468519769,Suppose I should start revision and stop putting this mornings session off. Tweet soon 
3218,0,1468546258,yep...it's been 6 weeks  A lady at our church is watching her.
3370,0,1468578538,@nishitd NO!  I missed everything.. 1/4 onwards. Stupid work getting in the way of tennis.
3390,0,1468583468,@billbeckett Did you know tai means shit in indonesian. 
3512,0,1468612843,now I'm having a hard time digesting disappointment 
3518,0,1468617783,"so much for my roast tonight, still frozen solid. "
3584,0,1468629222,I am still suffering from a headache which has been with me since yesterday afternoon. Feels like my head is in a vice  Not pleasant.
3598,0,1468631297,LOL what Anna? Schmance? I soo wanna meet up with you in the holidays man haha - Im missing you so bad 
3599,0,1468631882,I sooo cannot afford to get an iPhone 
3679,0,1468649524,i need something big to happen 
3947,0,1468710021,@flurogoddess i would hope that most agree with you there. a worringly long day  hope all goes in your favour x
4082,0,1468740004,"totally pissed away her day doing nothing! Gawd, now I'm behind "
4111,0,1468747829,"@ginoboi  oh..i HATE you for getting to watch Slumdog this early  me, i have to wait for the actual day it's coming out "
4116,0,1468748835,@MissNixs Lol. Sounds like your search was unsuccessful 
4206,0,1468766818,@AbbieLeona_Ox Liverpool. Don't get me jealous  going to london on thursdaiii 
4220,0,1468769540,It should definately not be snowing outside! 
4428,0,1468820809,@finalcontext  Luckily I'm on holiday at the mo! But it's still all work  What is it you do ?
4566,0,1468853733,Lunchbreak......and I feel ill today..... 
4974,0,1468956170,boo not getting a puppy anymore  the mum mauled them  it such a shame tbh
5133,0,1469000523,"@chandarenee yo,yo.... hope your well, haven't seen ya'll in a minute "
5183,0,1469010462,My boobs hurt 
5304,0,1469042943, my housemaid.........oh I hate her :s  I guess she has alzheimers she didn't even know MY NAME
5347,0,1469055821,ï¿½356 to make my poorly car better  oh well worse things happen - anyone got any odd jobs for meeee? lol x
5405,0,1469069159,Ugh school I hate you. Why do you make me get up so early? 
5424,0,1469082126,Sore throat.  would love a bowl of grandma's matzo bowl soup right now.
5532,0,1469109781,@xmichelerocksx awh. Yea.  well i emailed her. Lol
5558,0,1469122713,There is 1 less squirrel in the world now...
5597,0,1469129804,"[and as far as I'm concerned, I can't help but feel I'm going about everything wrong.  ]"
5642,0,1469147113,"31 days, 2 seminar papers, 1 Spanish exam, 1 play to go. &lt;3  I only want to play Mario Kart with Ruby.  lolz"
5877,0,1469220240,Now I hurt my shoulder again.  When will my life stop sucking?
5928,0,1469237702,Itï¿½s such a nice day outside. And hereï¿½s me stuck at my PC 
5934,0,1469239124,i would love nothing more than to go back to bed and sleep all day... definitely not feeling up to par today 
6254,0,1469356207,On my way 2 class....I hate art history    Then its my Psyc class... then work for the rest of my day...I want to sleep!!
6318,0,1469380316,@davidtelford reminds me of when i was working in the machine room for 4 days setting up servers. nearly went deaf
6358,0,1469391058,@OceanMommy I'm so sorry Steph.   Praying for Ryker's family this morning. So very sad.
6404,0,1469415235,@bronwen I take it your current ex would not have passed the test 
6522,0,1469449945,fucking roadworks out the front of our house 
6570,0,1469472279,I can't believe I still don't know where my keys are 
6663,0,1469504058,Well shoot. I guess I should start yelling at people too. That's not my style though...so I'll just pout. 
6857,0,1469586541,"So what, all the new Canon SLR's record video now??   New Rebel T1i comes out in May:  12,800 iso, video, 15.5 mpx.... *sigh*"
6964,0,1469634001,@charmer128  they said I ain't ready yet.    is just asthma but they beign cautious.
7042,0,1469663543,http://twitpic.com/2yf5x - I want a real breakfast this morning
7110,0,1469692711,"@hitthefloor sorry, twitter was having issues last night. You picture dissapeared "
7252,0,1469749457,i'm freezing 
7602,0,1469875188,"Feeling awful, not hangover ill but ILL and what am i doing for the rest of the day? Working "
7653,0,1469897007,"@bcuban come on man, don't jinx the Pirates "
7660,0,1469898287,@ttaylorbear that's me every morning 
7801,0,1469950127,@KHill215 I seriously had hopes of wearing something short sleeved for Easter Sunday Service... Probably need a shawl or sweater!
7846,0,1469972364,@jfuzell omg.this is the horrible mindset i've been having for a month now.  hope u r doing well! o &amp; enjoy ur weather. its snowing here 
7967,0,1470015434,Where is my Twilight dvd? 
7983,0,1470033693,@KennelRuth I totally agree... I have both of them half way done and wanted them completed by today 
8085,0,1470062777,I am at work 
8172,0,1470096325,feels sad this afternoon can't believe it's still another 13 days to go
8318,0,1470152227,I gotta check out that new eminem song everyone is talking about.He's getting some bad reviews by Twitterville that i hope isnt true 
8381,0,1470180425,"@EstelleDarlings Honestly, you can only speak to urself because no 1 cares @the airport. Someone will always direct u 2 the next person"
8529,0,1470230868,@audreythebunny may not be able to hang out tonight because of the undeniable amount of work that I must unfortunately do 
8531,0,1470231007,@peteeee work  then who knows
8577,0,1548275569,"Well, @LilWO was having a tough day/night. Wanted @TinkFan to lay down w/ him, and she passed out, still sick   http://twitpic.com/3i2jo"
8713,0,1548318222,I'm gonna cry ...&quot;TinaFey&quot; is a fake! 
8824,0,1548493738,"trying sushi for the very first time,.... but not being very open minded  sorry"
8833,0,1548495051,@donnaontherocks  That's lame. I hope it improves as a whole. @Gothictany Yeah! It's gonna be fun! Pictures would be good so we can share!
8968,0,1548553074,I should pay my dues 
9021,0,1548578153,@beeerit Maybe I'll try reading it over the summer... seeing as I won't have a life cause I have to work two jobs 
9064,0,1548585900,Missing Shmoopy.  She's growing up too fast 
9157,0,1548635532, long ride home and i am bored
9176,0,1548639936,"really really unwell, this cold is killing me "
9212,0,1548658266,@davidcgarcia throat to 'just stop' 
9240,0,1548665273,ii feel all of the past models on the show shud be upset cuz these females are POPPED sorry  but blame Tyra
9342,0,1548701527,I just bawled my eyes out watching Marley and me. 
9678,0,1548838048,I just ate KFC 
9702,0,1548853397,@just_another_1 omg wtf!!!
9848,0,1550677419,All this new snow and 70 is closed  I know I could take 285 but I almost slid off Kenosha pass a few years ago
9859,0,1550680066,I have no voice  Argh!
9886,0,1550684830,only one day left  -.-    i hate school
9927,0,1550706057,@TheRopolitans i'm not  not televised on MLBEI or other sports channels. can't watch another game till Tues night.
9959,0,1550723102,Just got my thumb plastered and now I can't type as fast on my iPhone 
10128,0,1550780676,its a sunny day today yay =] but still cold 
10172,0,1550809777,@ryan_leslie OMG! I have been so behind on everything. Didn't know you would be in Baton Rouge. Dies.... 
10185,0,1550812497,@ TheRealJayMills - I wish there were more Indie Stores out there to support.  Joints is jive scarce these days.  
10229,0,1550834394,Jonny is stuck in traffic 
10316,0,1550869768,@itvhellskitchen Is that preview for UK visitors only?  There are ROI Hell's Kitchen fans too 
10476,0,1550933040,Salad from cafeteria is f-ing my stomach up. 
10615,0,1550991294,ok so yeah . . . it's still snowing 
10873,0,1551103819,"@MissLoki Sorry about your kitty, thats sad  DId you have a lovely time away though?"
11024,0,1551172111,8am walks at the beach.  im so tired. BUT oh well. helloo breakfast after.
11049,0,1551176923,Stuck at curledge when i just quite frankly want to go home. Still in a bad mood  xx
11063,0,1551179638,ughhh I dont wannna gooo to work 
11124,0,1551207484,@JohnnieWalk gotta freakin work tomorrow night.  no magic game for me. fml
11278,0,1551290494,What a nasty rainy day out today 
11448,0,1551359364,i want to fly in the sun.. itï¿½s raaaaaining the hole day  
11477,0,1551364619,Fresno is supposed to reach 97F on Tuesday.  Blah.
11543,0,1551395918,@RiskyBusinessMB wish I could come 
11558,0,1551417979,sang on singstar Abba last night...no voice today and a hangover!!! 
11615,0,1551427475,@SimplyGaby im sorry to hear that u had a bad day 
11639,0,1551450387,@lovelifeforever i can't read what your typing 
11863,0,1551551708,"are you still down for horton today? or are you gonna ditch me to do something else  b/c you know you would. HAHA, jkjk!"
11967,0,1551606565,this weekend will consist of my trying to write my research paper... oooo so much fun 
11984,0,1551611650,Got work again now 
12404,0,1551796493,I'm grounded 
12498,0,1551840975,@lizzlefoshizzle  I am up in West Branch at the lake with the kids.
12558,0,1551870603,I will eat ... but pffff 
12580,0,1551874463,@shounenhero I found this English Subbed SS501 playlist on YouTube and have decided I will watch that today. I really love them  so pretty
12654,0,1551906433,Just made this account to test of the http://herebeforeoprah.com site checks account creation date. It does not 
12836,0,1551998910,"god is mad cause all time low doesn't come to houston enough, thats why its raining today. "
12925,0,1552033799,@thepistol good luck with ur concert in san diego! wish i could be there but i live all the way in buffalo  i know u'll do great tho! duh.
12943,0,1552056127,Something I haven't done in ages; woken up in BK @ 1:10 when I'm supposed to be in Manhattan @ 2. No online scrabble for me this morning.
12992,0,1552063922,Milked my college connection to shmooze a client for the first time ever this past week ... does that make me a whore?? 
13184,0,1553139260,@bhabb that's cool! #cubbies we only have a AAA team here in Portland  Going to a game tomorrow...
13185,0,1553139517,that was the end ?  #asot400
13233,0,1553169192,Bloody fireworks sound like bombs going off!! Pen is not a happy little doggie 
13244,0,1553170658,i am listening music but I still lost in twitter 
13300,0,1553178929,@jferolo If only we didnt have to finish an episode by Monday 
13374,0,1553210318,@kidmanproject Shame it won't make it to iPlayer 
13455,0,1553264083,"so tired, why am i still studying?? "
13486,0,1553269449,Why is it that I love all the things I shouldn't? It's very unhealthy. It's going to be the death of me one day 
13779,0,1553396684,"this music make me soo happy and soo sad,because itï¿½s over today  ...#ASOT400"
13796,0,1553399169,@forager23 We just saw a raccoon in Central Park...everyone says it must be rabid
13985,0,1553489808,Exam time!! 
13989,0,1553490410,Noooooo! One more day of 'Freedom' then life gets tough again...     I don't want to go back and I will try everything to stay at home...
14150,0,1553575560,@MyAppleStuff bad head in the morning 
14180,0,1553580003,Watching my brothers game their losing 6 to 1
14258,0,1553612872,"@BearNoiz Shame he died  Uh, obviously. But you know what I mean!"
14259,0,1553612972,what a nice shower! Uh oh its getting cloudy out 
